algorithm,run,ns_per_op
ML-DSA-44,47,144201.0
ML-DSA-44,48,353750.0
ML-DSA-44,49,148223.0
ML-DSA-44,50,56172.0
ML-DSA-44,51,83075.0
ML-DSA-44,52,147665.0
ML-DSA-44,53,152063.0
ML-DSA-44,54,125875.0
ML-DSA-44,55,117289.0
ML-DSA-44,56,125299.0
ML-DSA-44,57,83155.0
ML-DSA-44,58,156930.0
ML-DSA-44,59,304727.0
ML-DSA-44,60,86297.0
ML-DSA-44,61,171658.0
ML-DSA-44,62,143280.0
ML-DSA-44,63,144616.0
ML-DSA-44,64,80176.0
ML-DSA-44,65,100553.0
ML-DSA-44,66,83552.0
ML-DSA-44,67,237642.0
ML-DSA-44,68,93818.0
ML-DSA-44,69,166129.0
ML-DSA-44,70,124278.0
ML-DSA-44,71,101847.0
ML-DSA-44,72,267965.0
ML-DSA-44,73,84436.0
ML-DSA-44,74,132816.0
ML-DSA-44,75,182583.0
ML-DSA-44,76,203003.0
ML-DSA-44,77,170939.0
ML-DSA-44,78,257273.0
ML-DSA-44,79,113935.0
ML-DSA-44,80,191597.0
ML-DSA-44,81,163613.0
ML-DSA-44,82,435258.0
ML-DSA-44,83,115508.0
ML-DSA-44,84,91147.0
ML-DSA-44,85,258699.0
ML-DSA-44,86,160749.0
ML-DSA-44,87,100200.0
ML-DSA-44,88,89623.0
ML-DSA-44,89,103174.0
ML-DSA-44,90,71960.0
ML-DSA-44,91,179130.0
ML-DSA-44,92,96280.0
ML-DSA-44,93,246388.0
ML-DSA-44,94,155742.0
ML-DSA-44,95,96549.0
ML-DSA-44,96,117118.0
ML-DSA-44,97,258661.0
ML-DSA-44,98,237559.0
ML-DSA-44,99,99168.0
ML-DSA-65,0,127176.0
ML-DSA-65,1,308196.0
ML-DSA-65,2,230587.0
ML-DSA-65,3,191143.0
ML-DSA-65,4,242229.0
ML-DSA-65,5,193265.0
ML-DSA-65,6,103073.0
ML-DSA-65,7,234171.0
ML-DSA-65,8,169924.0
ML-DSA-65,9,251637.0
ML-DSA-65,10,108802.0
ML-DSA-65,11,168297.0
ML-DSA-65,12,161587.0
ML-DSA-65,13,168497.0
ML-DSA-65,14,119487.0
ML-DSA-65,15,155701.0
ML-DSA-65,16,262276.0
ML-DSA-65,17,176689.0
ML-DSA-65,18,250346.0
ML-DSA-65,19,183011.0
ML-DSA-65,20,162855.0
ML-DSA-65,21,177735.0
ML-DSA-65,22,129389.0
ML-DSA-65,23,162611.0
ML-DSA-65,24,154774.0
ML-DSA-65,25,216676.0
ML-DSA-65,26,376524.0
ML-DSA-65,27,396457.0
ML-DSA-65,28,177968.0
ML-DSA-65,29,222947.0
ML-DSA-65,30,167870.0
ML-DSA-65,31,519540.0
ML-DSA-65,32,167656.0
ML-DSA-65,33,94613.0
ML-DSA-65,34,297088.0
ML-DSA-65,35,100072.0
ML-DSA-65,36,230712.0
ML-DSA-65,37,188301.0
ML-DSA-65,38,175489.0
ML-DSA-65,39,312293.0
ML-DSA-65,40,263715.0
ML-DSA-65,41,150321.0
ML-DSA-65,42,296650.0
ML-DSA-65,43,137159.0
ML-DSA-65,44,237830.0
ML-DSA-65,45,111370.0
ML-DSA-65,46,156651.0
ML-DSA-65,47,116637.0
ML-DSA-65,48,130189.0
ML-DSA-65,49,91274.0
ML-DSA-65,50,181281.0
ML-DSA-65,51,373155.0
ML-DSA-65,52,169602.0
ML-DSA-65,53,106319.0
ML-DSA-65,54,146328.0
ML-DSA-65,55,159170.0
ML-DSA-65,56,358857.0
ML-DSA-65,57,185214.0
ML-DSA-65,58,234145.0
ML-DSA-65,59,352577.0
ML-DSA-65,60,340103.0
ML-DSA-65,61,196446.0
ML-DSA-65,62,195636.0
ML-DSA-65,63,507465.0
ML-DSA-65,64,144072.0
ML-DSA-65,65,289027.0
ML-DSA-65,66,131427.0
ML-DSA-65,67,210892.0
ML-DSA-65,68,216616.0
ML-DSA-65,69,279081.0
ML-DSA-65,70,190507.0
ML-DSA-65,71,215641.0
ML-DSA-65,72,230965.0
ML-DSA-65,73,426804.0
ML-DSA-65,74,220529.0
ML-DSA-65,75,180245.0
ML-DSA-65,76,161422.0
ML-DSA-65,77,272682.0
ML-DSA-65,78,346664.0
ML-DSA-65,79,172083.0
ML-DSA-65,80,173354.0
ML-DSA-65,81,129933.0
ML-DSA-65,82,153245.0
ML-DSA-65,83,430411.0
ML-DSA-65,84,229937.0
ML-DSA-65,85,196296.0
ML-DSA-65,86,108385.0
ML-DSA-65,87,230406.0
ML-DSA-65,88,360843.0
ML-DSA-65,89,262583.0
ML-DSA-65,90,110738.0
ML-DSA-65,91,203272.0
ML-DSA-65,92,218151.0
ML-DSA-65,93,212653.0
ML-DSA-65,94,157176.0
ML-DSA-65,95,439463.0
ML-DSA-65,96,286087.0
ML-DSA-65,97,255450.0
ML-DSA-65,98,110675.0
ML-DSA-65,99,173157.0
ML-DSA-87,0,202444.0
ML-DSA-87,1,509537.0
ML-DSA-87,2,246763.0
ML-DSA-87,3,329367.0
ML-DSA-87,4,170639.0
ML-DSA-87,5,144235.0
ML-DSA-87,6,145401.0
ML-DSA-87,7,130614.0
ML-DSA-87,8,243637.0
ML-DSA-87,9,207125.0
ML-DSA-87,10,224464.0
ML-DSA-87,11,410551.0
ML-DSA-87,12,184533.0
ML-DSA-87,13,201413.0
ML-DSA-87,14,201659.0
ML-DSA-87,15,428900.0
ML-DSA-87,16,220724.0
