goos: linux
goarch: amd64
pkg: github.com/qursa-uc3m/dnssec_pqc_plugin/bench
cpu: 12th Gen Intel(R) Core(TM) i5-12500T
BenchmarkSign
BenchmarkSign/RSA-SHA256
BenchmarkSign/ECDSA-P256-12         	       1	     55822 ns/op	    7600 B/op	      59 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	     61086 ns/op	    7568 B/op	      58 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	     49464 ns/op	    7568 B/op	      58 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	     62929 ns/op	    7568 B/op	      59 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	     49705 ns/op	    7584 B/op	      58 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	     52262 ns/op	    7584 B/op	      58 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	     46172 ns/op	    7568 B/op	      59 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	     49765 ns/op	    7584 B/op	      59 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	     68310 ns/op	    7600 B/op	      58 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	     40587 ns/op	    7568 B/op	      58 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	     47820 ns/op	    7600 B/op	      58 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	     51554 ns/op	    7600 B/op	      59 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	     45753 ns/op	    7568 B/op	      58 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	     52003 ns/op	    7584 B/op	      59 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	     51384 ns/op	    7584 B/op	      58 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	     40847 ns/op	    7600 B/op	      58 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	     49134 ns/op	    7568 B/op	      58 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	     43816 ns/op	    7584 B/op	      58 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	     51736 ns/op	    7568 B/op	      59 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	     71396 ns/op	    7584 B/op	      59 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	     72777 ns/op	    7600 B/op	      59 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	     56836 ns/op	    7568 B/op	      58 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	     69612 ns/op	    7600 B/op	      58 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	     54158 ns/op	    7600 B/op	      59 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	     74348 ns/op	    7568 B/op	      59 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	     70936 ns/op	    7584 B/op	      58 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	     68723 ns/op	    7584 B/op	      59 allocs/op
